,year,full_addr,borough,units
0,2016,7402 17 AVENUE Brooklyn,Brooklyn,15
1,2016,6801 20 AVENUE Brooklyn,Brooklyn,8
2,2016,105 3 PLACE Brooklyn,Brooklyn,8
3,2016,5416 4 AVENUE Brooklyn,Brooklyn,16
4,2016,5422 4 AVENUE Brooklyn,Brooklyn,21
5,2016,5605 4 AVENUE Brooklyn,Brooklyn,16
6,2016,6302 4 AVENUE Brooklyn,Brooklyn,21
7,2016,6324 4 AVENUE Brooklyn,Brooklyn,21
8,2016,327 43 STREET Brooklyn,Brooklyn,18
9,2016,1424 43 STREET Brooklyn,Brooklyn,16
10,2016,294 5 AVENUE Brooklyn,Brooklyn,7
11,2016,4228 5 AVENUE Brooklyn,Brooklyn,7
12,2016,452 53 STREET Brooklyn,Brooklyn,17
13,2016,546 55 STREET Brooklyn,Brooklyn,16
14,2016,484 60 STREET Brooklyn,Brooklyn,7
15,2016,1713 67 STREET Brooklyn,Brooklyn,16
16,2016,2070 72 STREET Brooklyn,Brooklyn,9
17,2016,6213 8 AVENUE Brooklyn,Brooklyn,6
18,2016,268 ALBANY AVENUE Brooklyn,Brooklyn,8
19,2016,552 ALBANY AVENUE Brooklyn,Brooklyn,6
20,2016,55 ARLINGTON AVENUE Brooklyn,Brooklyn,6
21,2016,282 ASHFORD STREET Brooklyn,Brooklyn,6
22,2016,595 AUTUMN AVENUE Brooklyn,Brooklyn,6
23,2016,221 BAINBRIDGE STREET Brooklyn,Brooklyn,9
24,2016,1338 BERGEN STREET Brooklyn,Brooklyn,16
25,2016,2044 BERGEN STREET Brooklyn,Brooklyn,16
26,2016,2107 BEVERLY ROAD Brooklyn,Brooklyn,17
27,2016,33 BUFFALO AVENUE Brooklyn,Brooklyn,6
28,2016,278 CHAUNCEY STREET Brooklyn,Brooklyn,8
29,2016,2408 CLARENDON ROAD Brooklyn,Brooklyn,16
30,2016,287 CLARKSON AVENUE Brooklyn,Brooklyn,8
31,2016,1120 CLARKSON AVENUE Brooklyn,Brooklyn,4
32,2016,681 CLASSON AVENUE Brooklyn,Brooklyn,8
33,2016,695 CONEY ISLAND AVENUE Brooklyn,Brooklyn,6
34,2016,30 COOPER STREET Brooklyn,Brooklyn,3
35,2016,526 DAHILL ROAD Brooklyn,Brooklyn,20
36,2016,1423 DE KALB AVENUE Brooklyn,Brooklyn,6
37,2016,1155 DEAN STREET Brooklyn,Brooklyn,16
38,2016,903 EAST 106 STREET Brooklyn,Brooklyn,3
39,2016,410 EAST 17 STREET Brooklyn,Brooklyn,30
40,2016,855 EAST 19 STREET Brooklyn,Brooklyn,60
41,2016,754 EAST 23 STREET Brooklyn,Brooklyn,32
42,2016,491 EAST 45 STREET Brooklyn,Brooklyn,16
43,2016,175 EAST 52 STREET Brooklyn,Brooklyn,43
44,2016,197 EAST 52 STREET Brooklyn,Brooklyn,6
45,2016,107 EAST 59 STREET Brooklyn,Brooklyn,6
46,2016,480 EAST 94 STREET Brooklyn,Brooklyn,6
47,2016,903 EAST 95 STREET Brooklyn,Brooklyn,3
48,2016,631 EAST 96 STREET Brooklyn,Brooklyn,6
49,2016,888 EAST 96 STREET Brooklyn,Brooklyn,32
50,2016,942 EASTERN PARKWAY Brooklyn,Brooklyn,16
51,2016,1530 EASTERN PARKWAY EXTENSION Brooklyn,Brooklyn,8
52,2016,308 ELLERY STREET Brooklyn,Brooklyn,6
53,2016,125 EVERGREEN AVENUE Brooklyn,Brooklyn,8
54,2016,892 FLUSHING AVENUE Brooklyn,Brooklyn,26
55,2016,425 GATES AVENUE Brooklyn,Brooklyn,11
56,2016,89 GRATTAN STREET Brooklyn,Brooklyn,6
57,2016,148 GROVE STREET Brooklyn,Brooklyn,6
58,2016,381 GROVE STREET Brooklyn,Brooklyn,13
59,2016,77 HALSEY STREET Brooklyn,Brooklyn,6
60,2016,641 HALSEY STREET Brooklyn,Brooklyn,3
61,2016,303 HARMAN STREET Brooklyn,Brooklyn,6
62,2016,536 HEGEMAN AVENUE Brooklyn,Brooklyn,5
63,2016,553 HOWARD AVENUE Brooklyn,Brooklyn,12
64,2016,160 HULL STREET Brooklyn,Brooklyn,3
65,2016,202 HULL STREET Brooklyn,Brooklyn,6
66,2016,177 HURON STREET Brooklyn,Brooklyn,6
67,2016,170 IRVING AVENUE Brooklyn,Brooklyn,6
